date,ct10_yield_pct,ct10_change_bps,fn_3.5_3_swap_perf_32nds,fn_3.5_3_swap_perf_32nds_corr_20d,fn_3.5_3_swap_perf_32nds_corr_40d,fn_3.5_3_swap_perf_32nds_corr_60d,fn_4_3.5_swap_perf_32nds,fn_4_3.5_swap_perf_32nds_corr_20d,fn_4_3.5_swap_perf_32nds_corr_40d,fn_4_3.5_swap_perf_32nds_corr_60d,fn_4.5_4_swap_perf_32nds,fn_4.5_4_swap_perf_32nds_corr_20d,fn_4.5_4_swap_perf_32nds_corr_40d,fn_4.5_4_swap_perf_32nds_corr_60d,fn_5_4.5_swap_perf_32nds,fn_5_4.5_swap_perf_32nds_corr_20d,fn_5_4.5_swap_perf_32nds_corr_40d,fn_5_4.5_swap_perf_32nds_corr_60d,fn_5.5_5_swap_perf_32nds,fn_5.5_5_swap_perf_32nds_corr_20d,fn_5.5_5_swap_perf_32nds_corr_40d,fn_5.5_5_swap_perf_32nds_corr_60d,fn_6_5.5_swap_perf_32nds,fn_6_5.5_swap_perf_32nds_corr_20d,fn_6_5.5_swap_perf_32nds_corr_40d,fn_6_5.5_swap_perf_32nds_corr_60d,fn_6.5_6_swap_perf_32nds,fn_6.5_6_swap_perf_32nds_corr_20d,fn_6.5_6_swap_perf_32nds_corr_40d,fn_6.5_6_swap_perf_32nds_corr_60d,g2_3.5_3_swap_perf_32nds,g2_3.5_3_swap_perf_32nds_corr_20d,g2_3.5_3_swap_perf_32nds_corr_40d,g2_3.5_3_swap_perf_32nds_corr_60d,g2_4_3.5_swap_perf_32nds,g2_4_3.5_swap_perf_32nds_corr_20d,g2_4_3.5_swap_perf_32nds_corr_40d,g2_4_3.5_swap_perf_32nds_corr_60d,g2_4.5_4_swap_perf_32nds,g2_4.5_4_swap_perf_32nds_corr_20d,g2_4.5_4_swap_perf_32nds_corr_40d,g2_4.5_4_swap_perf_32nds_corr_60d,g2_5_4.5_swap_perf_32nds,g2_5_4.5_swap_perf_32nds_corr_20d,g2_5_4.5_swap_perf_32nds_corr_40d,g2_5_4.5_swap_perf_32nds_corr_60d,g2_5.5_5_swap_perf_32nds,g2_5.5_5_swap_perf_32nds_corr_20d,g2_5.5_5_swap_perf_32nds_corr_40d,g2_5.5_5_swap_perf_32nds_corr_60d,g2_6_5.5_swap_perf_32nds,g2_6_5.5_swap_perf_32nds_corr_20d,g2_6_5.5_swap_perf_32nds_corr_40d,g2_6_5.5_swap_perf_32nds_corr_60d,g2_6.5_6_swap_perf_32nds,g2_6.5_6_swap_perf_32nds_corr_20d,g2_6.5_6_swap_perf_32nds_corr_40d,g2_6.5_6_swap_perf_32nds_corr_60d
2023-09-18,4.31752076863835,,0.2598235265157185,,,,-0.5698534869146816,,,,-0.31851643388181444,,,,0.5160011264705344,,,,0.026090396220127987,,,,0.11938976473163843,,,,-0.20004664145526718,,,,-0.9340316777179298,,,,-0.4824942107111423,,,,-0.787462054019904,,,,-0.526946052604512,,,,0.30707686940854173,,,,1.0065633748501175,,,,-0.20654074683832002,,,
2023-09-19,4.36566797198026,4.8147203341909695,-1.2279443145410498,,,,-0.022427167893167788,,,,0.3536592843270401,,,,1.4718286628731838,,,,1.477053965575878,,,,-0.11385288261650656,,,,0.11190062173463805,,,,-2.336767271984995,,,,-0.15645512423084806,,,,0.4524815205030208,,,,1.0777561426518592,,,,1.1939199228959616,,,,1.4345577894325696,,,,-0.4727875426458048,,,
2023-09-20,4.34571488779608,-1.9953084184179737,-0.41410722758661755,,,,-0.10674565032519379,,,,0.4354592946235041,,,,0.19155087598788478,,,,-0.02671514049688639,,,,0.21626644463155842,,,,-1.103981490469459,,,,-0.9336810383726848,,,,-0.45420509400965114,,,,1.012407361049971,,,,-0.5922723822425151,,,,0.22801245130810877,,,,0.15513474336855682,,,,-1.3752715554380002,,,
2023-09-21,4.47891879085872,13.320390306263974,-1.9433219536089728,,,,-1.7396398791197116,,,,0.13479934718764763,,,,1.8433522635916155,,,,0.6074319200484166,,,,1.6992885377338687,,,,2.893974728918307,,,,-1.7045958765352958,,,,-2.0891012284122565,,,,0.17711979937315192,,,,2.0390594387736325,,,,1.3364626533430077,,,,1.2765354397242752,,,,4.802985292372455,,,
2023-09-22,4.43875997295247,-4.01588179062502,1.1495785534639675,,,,2.361156836592915,,,,1.286125528653792,,,,-0.21536305462487682,,,,0.34495686554273597,,,,0.6584668431524673,,,,0.48857658905652146,,,,0.7023800135585345,,,,2.2258570555788353,,,,0.5415282523807095,,,,-1.0268090347165655,,,,0.63362896520029,,,,2.083232759939102,,,,-0.24497610629563193,,,
2023-09-25,4.54054981424347,10.178984129100055,1.2806660560328638,,,,1.6411042225014087,,,,0.9742837285166397,,,,1.6647404168915934,,,,1.1255833086045186,,,,1.5837601636413217,,,,1.3444933001507073,,,,1.9109656815727991,,,,0.9774086623883518,,,,0.8138075393579527,,,,0.9666506432204476,,,,0.6456770739246434,,,,2.8371506690189077,,,,2.936036820193188,,,
2023-09-26,4.55705436654744,1.6504552303969966,0.025378862230560628,,,,-1.3690034035127683,,,,0.060898151495007546,,,,0.5602111192222408,,,,1.394909425055392,,,,0.2762070358790716,,,,0.6076726593895683,,,,-0.5121416850037122,,,,-1.4467384700733437,,,,-1.286518614363552,,,,0.5980922573520955,,,,1.673163056342304,,,,0.6183737921064321,,,,1.0094325531848325,,,
2023-09-27,4.62498242361018,6.792805706273963,-0.8492967746931206,,,,0.3774291018328646,,,,-0.03986484677385649,,,,0.40032830825260834,,,,-0.24271144298707226,,,,0.5129935615673924,,,,1.1869736155268447,,,,-1.3805964205434909,,,,0.5128650118191675,,,,-0.32344298374102376,,,,0.6579558573787838,,,,0.9230194424196414,,,,-0.34551930728545566,,,,1.0561145170896413,,,
2023-09-28,4.5963273785706,-2.865504503957972,-0.8602949033743039,,,,-1.0645432634172156,,,,-0.5022015534800643,,,,0.5675467006197441,,,,0.25960418569804844,,,,1.2681657005226556,,,,0.607011177281696,,,,-1.72284945988208,,,,-0.5860005495338241,,,,-0.759551166917952,,,,0.528913165097856,,,,0.8437244932977279,,,,0.9765178024698242,,,,1.4385573633167361,,,
2023-09-29,4.57008761931672,-2.6239759253880557,1.740469047452864,,,,1.9567456179586884,,,,1.3868738652871997,,,,1.2793632338095904,,,,0.36766157133803845,,,,0.5962097390903968,,,,0.20477325593722884,,,,0.9952342130804794,,,,1.6235122871889924,,,,1.6841579970390752,,,,1.7295087171774974,,,,-0.6141386668762783,,,,0.25106614869006716,,,,0.2670569686574431,,,
