date,ct10_yield_pct,ct10_change_bps,g2_fn_3_perf_32nds,g2_fn_3_corr_20d,g2_fn_3_corr_40d,g2_fn_3_corr_60d,g2_fn_3.5_perf_32nds,g2_fn_3.5_corr_20d,g2_fn_3.5_corr_40d,g2_fn_3.5_corr_60d,g2_fn_4_perf_32nds,g2_fn_4_corr_20d,g2_fn_4_corr_40d,g2_fn_4_corr_60d,g2_fn_4.5_perf_32nds,g2_fn_4.5_corr_20d,g2_fn_4.5_corr_40d,g2_fn_4.5_corr_60d,g2_fn_5_perf_32nds,g2_fn_5_corr_20d,g2_fn_5_corr_40d,g2_fn_5_corr_60d,g2_fn_5.5_perf_32nds,g2_fn_5.5_corr_20d,g2_fn_5.5_corr_40d,g2_fn_5.5_corr_60d,g2_fn_6_perf_32nds,g2_fn_6_corr_20d,g2_fn_6_corr_40d,g2_fn_6_corr_60d,g2_fn_6.5_perf_32nds,g2_fn_6.5_corr_20d,g2_fn_6.5_corr_40d,g2_fn_6.5_corr_60d
2023-09-18,4.31752076863835,,1.165724546462861,,,,-0.02813065777078738,,,,0.059228618432751956,,,,-0.4097170017053376,,,,-1.452664180780384,,,,-1.1716777075919702,,,,-0.28450409747349115,,,,-0.290998202856544,,,
2023-09-19,4.36566797198026,4.8147203341909695,0.9924315416045472,,,,-0.11639141583939816,,,,-0.25041937217707844,,,,-0.1515971360010977,,,,-0.5456696562224224,,,,-0.8288036989023388,,,,0.7196069731467373,,,,0.13491880876629442,,,
2023-09-20,4.34571488779608,-1.9953084184179737,0.6486631760427584,,,,0.12908936525669112,,,,-0.21837007842776623,,,,0.3585779879987008,,,,-0.4252452702316991,,,,-0.17051767842670396,,,,-0.23164937968970556,,,,-0.5029394446582467,,,
2023-09-21,4.47891879085872,13.320390306263974,-0.9320761846123968,,,,-0.6933501075387198,,,,-1.0428114568312647,,,,-1.0004910046457605,,,,-0.8047838294637435,,,,-0.07575309616915238,,,,-0.49850619417874587,,,,1.4105043692754018,,,
2023-09-22,4.43875997295247,-4.01588179062502,0.7597635761223356,,,,0.31256503621690257,,,,0.17726525520282244,,,,-0.5673320210702602,,,,-1.3787780011619488,,,,-1.0901059015043948,,,,0.3346600152822399,,,,-0.3988926800699135,,,
2023-09-25,4.54054981424347,10.178984129100055,-0.5826649532911992,,,,0.04763467224873619,,,,-0.6160608878643208,,,,-0.7765370770230078,,,,-1.4746268506941536,,,,-1.9545330853740288,,,,-0.7011425799964426,,,,0.8904009400460382,,,
2023-09-26,4.55705436654744,1.6504552303969966,0.6066014172875205,,,,0.0690808700532477,,,,-0.008654196507327683,,,,-1.3560709623658873,,,,-1.3181898242360326,,,,-1.0399361929491207,,,,-0.6977694367217602,,,,-0.29600954292649595,,,
2023-09-27,4.62498242361018,6.792805706273963,0.6943092543142111,,,,0.16300960846384083,,,,0.2984455184501438,,,,0.014867381482976505,,,,0.272494930609152,,,,1.4382258160158656,,,,0.5797129471630176,,,,0.44885384872581424,,,
2023-09-28,4.5963273785706,-2.865504503957972,0.8675724100663684,,,,0.0050178535585923,,,,0.48356056744198384,,,,0.2262109540040962,,,,0.1875774184822081,,,,0.7716977260818876,,,,0.48004982802905616,,,,1.3115960140640963,,,
2023-09-29,4.57008761931672,-2.6239759253880557,1.6193115381550083,,,,0.8740767037826238,,,,0.5408433730129278,,,,0.8381275047648034,,,,1.2882729881327104,,,,0.3064727499183937,,,,-0.03867084048193592,,,,0.02361287223827835,,,
2023-10-02,4.68163744687722,11.154982756050025,1.2444117152342082,,,,0.39574856556393634,,,,-0.2581803662040958,,,,-0.2039806778451192,,,,-0.22331515971820792,,,,-1.0185468897971552,,,,-1.5001583954135778,,,,-0.07379299747164159,,,
2023-10-03,4.80072112094976,11.908367407253984,-1.4154931139884468,,,,0.5421176460695047,,,,-0.5991613461552969,,,,-1.2906709259158724,,,,-1.0798072049215683,,,,-0.029016032456159913,,,,0.126067931182976,,,,1.1532232938949756,,,
2023-10-04,4.73294411360084,-6.7777007348920115,1.0121823663779201,,,,0.622842007994624,,,,1.4543933633885127,,,,1.0390865917178878,,,,1.2481902925157922,,,,1.8656575197026335,,,,0.5248411969479487,,,,0.05035048389871355,,,
2023-10-06,4.77989976141521,4.695564781437067,-0.11628371696246376,,,,1.1996064768514243,,,,0.5684784044120961,,,,-0.7049574305890336,,,,0.7134910674513568,,,,0.8014083056396064,,,,1.4658565533834658,,,,2.1031369578986174,,,
2023-10-10,4.65399613571246,-12.590362570275015,2.7156822304393216,,,,1.6420794456238719,,,,1.4453663912239967,,,,1.6676162491770847,,,,1.5689415564782911,,,,1.3761948639942112,,,,2.393991252078499,,,,-0.9516412325883197,,,
2023-10-11,4.59629890590128,-5.769722981117997,4.0267414659766425,,,,3.8052701167257887,,,,2.4372657482277154,,,,3.7291169217370275,,,,4.739225899577433,,,,4.137274699958732,,,,3.569810005857162,,,,1.053435670614954,,,
2023-10-12,4.70941120768437,11.311230178309017,-0.17164418021587213,,,,-1.8514773316570876,,,,-1.0650152592214397,,,,-0.7290848804013761,,,,-0.850183894723632,,,,-0.6582145694502624,,,,-0.5819064715534816,,,,0.5889322368927629,,,
2023-10-13,4.62792014937618,-8.149105830819003,2.4840720953608635,,,,2.0414442456494717,,,,1.8518704221750077,,,,1.976866413648672,,,,1.5325703300277116,,,,-0.02795372018800002,,,,0.26368673447839974,,,,-1.1738398029264,,,
2023-10-16,4.70910337723536,8.118322785917975,-1.1340274433662625,,,,-0.12387447032027854,,,,0.8118410070656608,,,,-0.19999489339325116,,,,-1.8987614103325794,,,,-1.9237757900423709,,,,-1.2475573534481674,,,,0.4103463370432576,,,
2023-10-17,4.84574351596388,13.66401387285201,-1.895832949378441,,,,-2.5322286593345225,,,,-0.4492042565111809,,,,-1.6862054840190626,,,,-2.0920763470192254,,,,-2.375060551762858,,,,-2.328731548939973,,,,-0.4247185814752159,,,
2023-10-18,4.90105025467829,5.53067387144095,0.2950013796662079,-0.7998938036529446,,,0.692049776431392,-0.6633710816903882,,,-0.2886507081512315,-0.7964165904975196,,,0.8374423812285694,-0.7340539934547152,,,1.521974141740912,-0.6229573338069174,,,0.30673799191132467,-0.5630815912617124,,,0.6131593799927872,-0.6440667701046517,,,-0.27616495402874874,0.4215562022135734,,
