coupon,latest,perf_5d,perf_20d,perf_40d,corr_all,corr_obs,corr_20d,corr_40d,corr_60d
G2/FN 3,-0.050510204647776114,1.0820815031290385,-0.19816996022434707,0.3297004803067587,-0.04150686465020702,748,-0.3336309012370436,-0.25453632561587586,-0.18084283216340757
G2/FN 3.5,-1.4543256768344959,-0.835895162701533,-6.550232404365182,-1.379674507688857,0.015870811442130175,748,-0.06319046570966479,-0.007616383607961049,-0.038935329129484365
G2/FN 4,0.6072239266587198,-0.8697676699537855,-3.141330457592269,-7.600836013335791,-0.06374112026745334,748,0.26767516561543375,0.3166428037193642,0.2566574200996899
G2/FN 4.5,-2.23289186116432,-4.058702674034129,-6.383979188275419,-10.335670720177706,-0.07543227892239343,748,0.007534573392197892,-0.08812246594575174,0.08585888299077313
G2/FN 5,-1.6097337275764159,-1.8366513747150781,-4.183320357278095,-6.090680057098499,0.07316471908041025,748,-0.506873681003346,-0.5874608564519175,-0.4170404885302511
G2/FN 5.5,-1.687136361568576,-3.536458012094238,-8.179924055491973,-15.406867155839233,0.30282860336004025,748,-0.3417872968466012,-0.034894592561639744,0.16794024421010398
G2/FN 6,-2.487795170950653,-4.530028293398189,-12.52752716916033,-21.603635113854573,0.18005406517196298,748,-0.36206755240460503,-0.156966349490274,0.02724654444027056
G2/FN 6.5,-1.8842303346291451,-14.772274694368011,-6.909651853353198,-13.151772776824009,0.2170278124017579,748,0.30304520345597746,0.26199205442621243,0.19967458626759027
