date,ct10_yield_pct,ct10_change_bps,fn_6.5_5.5_wide_swap_perf_32nds,fn_6.5_5.5_wide_swap_perf_32nds_corr_20d,fn_6.5_5.5_wide_swap_perf_32nds_corr_40d,fn_6.5_5.5_wide_swap_perf_32nds_corr_60d,fn_6_5_wide_swap_perf_32nds,fn_6_5_wide_swap_perf_32nds_corr_20d,fn_6_5_wide_swap_perf_32nds_corr_40d,fn_6_5_wide_swap_perf_32nds_corr_60d,fn_5.5_4.5_wide_swap_perf_32nds,fn_5.5_4.5_wide_swap_perf_32nds_corr_20d,fn_5.5_4.5_wide_swap_perf_32nds_corr_40d,fn_5.5_4.5_wide_swap_perf_32nds_corr_60d,fn_5_4_wide_swap_perf_32nds,fn_5_4_wide_swap_perf_32nds_corr_20d,fn_5_4_wide_swap_perf_32nds_corr_40d,fn_5_4_wide_swap_perf_32nds_corr_60d,fn_4.5_3.5_wide_swap_perf_32nds,fn_4.5_3.5_wide_swap_perf_32nds_corr_20d,fn_4.5_3.5_wide_swap_perf_32nds_corr_40d,fn_4.5_3.5_wide_swap_perf_32nds_corr_60d,fn_4_3_wide_swap_perf_32nds,fn_4_3_wide_swap_perf_32nds_corr_20d,fn_4_3_wide_swap_perf_32nds_corr_40d,fn_4_3_wide_swap_perf_32nds_corr_60d,g2_6.5_5.5_wide_swap_perf_32nds,g2_6.5_5.5_wide_swap_perf_32nds_corr_20d,g2_6.5_5.5_wide_swap_perf_32nds_corr_40d,g2_6.5_5.5_wide_swap_perf_32nds_corr_60d,g2_6_5_wide_swap_perf_32nds,g2_6_5_wide_swap_perf_32nds_corr_20d,g2_6_5_wide_swap_perf_32nds_corr_40d,g2_6_5_wide_swap_perf_32nds_corr_60d,g2_5.5_4.5_wide_swap_perf_32nds,g2_5.5_4.5_wide_swap_perf_32nds_corr_20d,g2_5.5_4.5_wide_swap_perf_32nds_corr_40d,g2_5.5_4.5_wide_swap_perf_32nds_corr_60d,g2_5_4_wide_swap_perf_32nds,g2_5_4_wide_swap_perf_32nds_corr_20d,g2_5_4_wide_swap_perf_32nds_corr_40d,g2_5_4_wide_swap_perf_32nds_corr_60d,g2_4.5_3.5_wide_swap_perf_32nds,g2_4.5_3.5_wide_swap_perf_32nds_corr_20d,g2_4.5_3.5_wide_swap_perf_32nds_corr_40d,g2_4.5_3.5_wide_swap_perf_32nds_corr_60d,g2_4_3_wide_swap_perf_32nds,g2_4_3_wide_swap_perf_32nds_corr_20d,g2_4_3_wide_swap_perf_32nds_corr_40d,g2_4_3_wide_swap_perf_32nds_corr_60d
2023-09-18,4.31752076863835,,-0.08065687672362876,,,,0.1454801609517664,,,,0.5420915226906624,,,,0.19748469258871992,,,,-0.8883699207964961,,,,-0.31002996039896313,,,,0.8000226280117975,,,,1.3136402442586592,,,,-0.21986918319597026,,,,-1.314408106624416,,,,-1.2699562647310463,,,,-1.4165258884290721,,,
2023-09-19,4.36566797198026,4.8147203341909695,-0.001952260881868506,,,,1.3632010829593715,,,,2.948882628449062,,,,1.825487947200224,,,,0.3312321164338723,,,,-1.2503714824342176,,,,0.9617702467867648,,,,2.6284777123285314,,,,2.2716760655478208,,,,1.53023766315488,,,,0.29602639627217275,,,,-2.493222396215843,,,
2023-09-20,4.34571488779608,-1.9953084184179737,-0.8877150458379006,,,,0.18955130413467203,,,,0.1648357354909984,,,,0.6270101706113889,,,,0.3287136442983103,,,,-0.5208528779118113,,,,-1.2201368120694434,,,,0.3831471946766656,,,,-0.36425993093440634,,,,0.420134978807456,,,,0.5582022670403199,,,,-1.387886132382336,,,
2023-09-21,4.47891879085872,13.320390306263974,4.593263266652176,,,,2.3067204577822853,,,,2.450784183640032,,,,1.9781516107792632,,,,-1.604840531932064,,,,-3.6829618327286844,,,,6.07952073209673,,,,2.612998093067283,,,,3.3755220921166402,,,,2.2161792381467844,,,,-1.9119814290391046,,,,-3.7936971049475523,,,
2023-09-22,4.43875997295247,-4.01588179062502,1.1470434322089886,,,,1.0034237086952031,,,,0.12959381091785915,,,,1.0707624740289152,,,,3.6472823652467072,,,,3.5107353900568827,,,,1.8382566536434701,,,,2.716861725139392,,,,-0.3931800695162755,,,,-0.48528078233585603,,,,2.7673853079595445,,,,2.92823706913737,,,
2023-09-25,4.54054981424347,10.178984129100055,2.9282534637920286,,,,2.7093434722458403,,,,2.790323725496112,,,,2.639024145408233,,,,2.6153879510180484,,,,2.9217702785342725,,,,5.773187489212096,,,,3.482827742943551,,,,1.612327717145091,,,,1.7804581825784003,,,,1.7912162017463045,,,,2.888374343961151,,,
2023-09-26,4.55705436654744,1.6504552303969966,0.8838796952686399,,,,1.6711164609344635,,,,1.9551205442776327,,,,0.6211092707172483,,,,-1.3081052520177607,,,,-1.3436245412822077,,,,1.6278063452912646,,,,2.291536848448736,,,,2.2712553136943994,,,,-0.6884263570114566,,,,-2.7332570844368957,,,,-1.9588801550770558,,,
2023-09-27,4.62498242361018,6.792805706273963,1.699967177094237,,,,0.27028211858032014,,,,0.1576168652655361,,,,0.36046346147875186,,,,0.3375642550590081,,,,-0.471867672860256,,,,0.7105952098041857,,,,0.5775001351341857,,,,1.5809752997984252,,,,0.33451287363776006,,,,0.1894220280781438,,,,-0.8677314087243233,,,
2023-09-28,4.5963273785706,-2.865504503957972,1.8751768778043516,,,,1.527769886220704,,,,0.8271508863177925,,,,0.06534514713967976,,,,-1.56674481689728,,,,-1.9248381667915195,,,,2.4150751657865603,,,,1.8202422957675521,,,,1.372637658395584,,,,-0.23063800182009597,,,,-1.345551716451776,,,,-2.308850009415904,,,
2023-09-29,4.57008761931672,-2.6239759253880557,0.8009829950276256,,,,0.9638713104284352,,,,1.6470248051476288,,,,2.66623709909679,,,,3.343619483245888,,,,3.6972146654115523,,,,0.5181231173475103,,,,-0.3630725181862111,,,,1.1153700503012192,,,,3.4136667142165726,,,,3.3076702842280676,,,,2.618746500269472,,,
