date,10y,2s10s,1y10y_vol,FNCC,G2CC
2023-09-18,4.31752076863835,-0.7458932479417895,106.13274761,165.38,159.26
2023-09-19,4.36566797198026,-0.74261681863908,107.15395212,165.04000000000002,158.63
2023-09-20,4.34571488779608,-0.7722740793271194,106.92833923,164.22,156.72
2023-09-21,4.47891879085872,-0.6691758554395699,112.16936633,170.88,163.08
2023-09-22,4.43875997295247,-0.6828115743217698,110.78356765,166.94,158.07
2023-09-25,4.54054981424347,-0.58973930816438,116.44664221,171.60999999999999,166.64000000000001
2023-09-26,4.55705436654744,-0.5174314850880997,117.34018102,175.66,172.0
2023-09-27,4.62498242361018,-0.5154321238917197,120.75804174,177.57,174.0
2023-09-28,4.5963273785706,-0.47330049735194013,120.98032981,172.34,167.87
2023-09-29,4.57008761931672,-0.4745230927387203,119.48083527,176.96,169.97
2023-10-02,4.68163744687722,-0.4297796348534897,122.49671854,178.98000000000002,175.13
2023-10-03,4.80072112094976,-0.34634934547553,129.03199531,186.38,180.76000000000002
2023-10-04,4.73294411360084,-0.31471844817051053,127.4497062,178.76000000000002,175.04
2023-10-05,4.71541993701914,-0.30813169450711975,127.37594545,180.35000000000002,175.37
2023-10-06,4.77989976141521,-0.2982065898588493,128.21448036,175.43,172.25
2023-10-10,4.65399613571246,-0.3292718171410396,127.40479782,180.21,176.06
2023-10-11,4.59629890590128,-0.40795678738634944,124.04764071,180.8,172.36
2023-10-12,4.70941120768437,-0.3603001007109192,124.60654601,183.1,176.61
2023-10-13,4.62792014937618,-0.42378676382532987,124.85122308,186.64000000000001,181.67
2023-10-16,4.70910337723536,-0.3872596268656503,124.57126752,186.35999999999999,182.01
2023-10-17,4.84574351596388,-0.36695706816044993,126.10196136,187.5,184.51
2023-10-18,4.90105025467829,-0.3161369908029501,127.33301148,186.09,181.70999999999998
2023-10-19,4.98661741631974,-0.1836767170081295,130.72095811,184.41,177.47
2023-10-20,4.92218291333332,-0.16057579808441957,131.151577724622,188.34,183.38
2023-10-23,4.83646525028719,-0.22486998459480034,127.248181178176,189.18,186.15
2023-10-24,4.83879418817122,-0.2297058118555002,125.432074162718,183.94,179.92999999999998
2023-10-25,4.95170375487692,-0.16787865736782948,126.823246614122,187.32999999999998,181.27
2023-10-26,4.84345710818577,-0.19497966982139037,125.845991180379,187.46,179.04
2023-10-27,4.84304997944118,-0.16837345407379978,124.809624701027,186.54999999999998,179.44
2023-10-30,4.87614851458794,-0.16124896356949048,125.204617243396,182.98000000000002,175.19
2023-10-31,4.87318667381641,-0.1964415435390201,123.141439654597,178.2,168.82999999999998
2023-11-01,4.78875159036816,-0.17985109416521983,120.189621977729,173.39,160.92
2023-11-02,4.66840294931852,-0.3052797604411399,119.223933570715,173.35,160.98
2023-11-03,4.55688244427427,-0.27341219558637064,117.836030061648,169.15,152.53
2023-11-06,4.66077755137009,-0.2789303094316393,117.64682256163,168.99,160.8
2023-11-07,4.56958975655324,-0.3469137980408794,116.430263785056,168.37,158.51999999999998
2023-11-08,4.506038447821,-0.4291502363493098,114.694399525069,168.57999999999998,158.57000000000002
