date,agency,coupon,price,actual_price_change_points,ct10_yield_pct,ct10_change_bps,ct10_duration,hedge_ratio,implied_price_change_points,actual_price_change_32nds,implied_price_change_32nds,perf_vs_ct10_32nds,perf_vs_tsy_32nds,ct7_yield_pct,ct7_change_bps,ct7_duration,hedge_ratio_7y,implied_price_change_ct7_points,implied_price_change_ct7_32nds,perf_vs_ct7_32nds,excel_perf_32nds,difference_vs_excel_ct10_32nds,difference_vs_excel_ct7_32nds,difference_vs_excel_32nds
2023-09-18,FN,3.0,85.039063,,4.31752076863835,,7.8,0.739,,,,,,4.4086104666662,,5.8,0.9938275862068966,,,,0.98982824504808,,,
2023-09-18,FN,3.5,88.296875,,4.31752076863835,,7.8,0.709,,,,,,4.4086104666662,,5.8,0.9534827586206897,,,,1.2496517715637985,,,
2023-09-18,FN,4.0,91.273438,,4.31752076863835,,7.8,0.681,,,,,,4.4086104666662,,5.8,0.9158275862068966,,,,0.6797982846491168,,,
2023-09-18,FN,4.5,93.875,,4.31752076863835,,7.8,0.647,,,,,,4.4086104666662,,5.8,0.8701034482758621,,,,0.3612818507673024,,,
2023-09-18,FN,5.0,96.125,,4.31752076863835,,7.8,0.613,,,,,,4.4086104666662,,5.8,0.8243793103448276,,,,0.8772829772378368,,,
2023-09-18,FN,5.5,98.109375,,4.31752076863835,,7.8,0.544,,,,,,4.4086104666662,,5.8,0.7315862068965517,,,,0.9033733734579648,,,
2023-09-18,FN,6.0,99.75,,4.31752076863835,,7.8,0.441,,,,,,4.4086104666662,,5.8,0.5930689655172414,,,,1.0227631381896032,,,
2023-09-18,FN,6.5,101.117188,,4.31752076863835,,7.8,0.352,,,,,,4.4086104666662,,5.8,0.47337931034482755,,,,0.822716496734336,,,
2023-09-18,G2,3.0,86.867188,,4.31752076863835,,7.8,0.687,,,,,,4.4086104666662,,5.8,0.923896551724138,,,,2.155552791510941,,,
2023-09-18,G2,3.5,89.796875,,4.31752076863835,,7.8,0.66,,,,,,4.4086104666662,,5.8,0.8875862068965518,,,,1.221521113793011,,,
2023-09-18,G2,4.0,92.210938,,4.31752076863835,,7.8,0.62,,,,,,4.4086104666662,,5.8,0.8337931034482758,,,,0.7390269030818688,,,
2023-09-18,G2,4.5,94.375,,4.31752076863835,,7.8,0.589,,,,,,4.4086104666662,,5.8,0.792103448275862,,,,-0.0484351509380352,,,
2023-09-18,G2,5.0,96.554688,,4.31752076863835,,7.8,0.551,,,,,,4.4086104666662,,5.8,0.7410000000000001,,,,-0.5753812035425472,,,
2023-09-18,G2,5.5,98.46875,,4.31752076863835,,7.8,0.484,,,,,,4.4086104666662,,5.8,0.650896551724138,,,,-0.26830433413400545,,,
2023-09-18,G2,6.0,99.984375,,4.31752076863835,,7.8,0.388,,,,,,4.4086104666662,,5.8,0.5217931034482759,,,,0.738259040716112,,,
2023-09-18,G2,6.5,101.007813,,4.31752076863835,,7.8,0.307,,,,,,4.4086104666662,,5.8,0.41286206896551725,,,,0.531718293877792,,,
2023-09-19,FN,3.0,84.703125,-0.33593799999999874,4.36566797198026,4.8147203341909695,7.8,0.742,-0.27865675406163654,-10.75001599999996,-8.91701612997237,-1.8329998700275905,-1.8329998700275905,4.46804956874446,5.9439102078259864,5.8,0.9978620689655172,-0.34400974718813676,-11.008311910020376,0.25829591002041674,-1.742068641324128,-0.09093122870346249,2.0003645513445445,-0.09093122870346249
2023-09-19,FN,3.5,87.9375,-0.359375,4.36566797198026,4.8147203341909695,7.8,0.712,-0.26739030847962963,-11.5,-8.556489871348148,-2.9435101286518517,-2.9435101286518517,4.46804956874446,5.9439102078259864,5.8,0.9575172413793103,-0.3301009973018239,-10.563231913658365,-0.936768086341635,-2.9700129558651778,0.026502827213326086,2.0332448695235428,0.026502827213326086
2023-09-19,FN,4.0,90.921875,-0.35156299999999874,4.36566797198026,4.8147203341909695,7.8,0.685,-0.2572505074558235,-11.25001599999996,-8.232016238586352,-3.0179997614136074,-3.0179997614136074,4.46804956874446,5.9439102078259864,5.8,0.9212068965517243,-0.3175831224041425,-10.16265991693256,-1.0873560830673998,-2.9924401237583456,-0.025559637655261813,1.9050840406909457,-0.025559637655261813
2023-09-19,FN,4.5,93.546875,-0.328125,4.36566797198026,4.8147203341909695,7.8,0.652,-0.24485741731561594,-10.5,-7.83543735409971,-2.66456264590029,-2.66456264590029,4.46804956874446,5.9439102078259864,5.8,0.8768275862068966,-0.30228349752919836,-9.673071920934348,-0.8269280790656524,-2.6387808394313055,-0.025781806468984314,1.8118527603656531,-0.025781806468984314
2023-09-19,FN,5.0,95.851563,-0.27343700000000126,4.36566797198026,4.8147203341909695,7.8,0.62,-0.23283987536147527,-8.74998400000004,-7.450876011567209,-1.2991079884328318,-1.2991079884328318,4.46804956874446,5.9439102078259864,5.8,0.8337931034482758,-0.2874474976504647,-9.19831992481487,0.4483359248148293,-1.1669521765581217,-0.13215581187471015,1.615288101372951,-0.13215581187471015
