agency,structure,series_key,level_latest,chg_5d,chg_20d,chg_40d,corr_all,corr_obs,corr_20d,corr_40d,corr_60d
FN,FN 3.5 fly,fn_3.5_fly_change_32nds,29.5,0.2500159999999596,0.5,-1.9999680000000808,-0.08866664868487137,748,-0.30894345745198676,0.017844582098139106,-0.025016380672669206
FN,FN 4 fly,fn_4_fly_change_32nds,-2.0,-1.0,-1.2500159999999596,3.2499840000000404,-0.33557407230574,748,-0.03088792565132697,-0.3524039436366207,-0.35676840392510556
FN,FN 4.5 fly,fn_4.5_fly_change_32nds,-1.7499840000000404,2.000031999999919,-3.499968000000081,-8.74998400000004,-0.43317224869476323,748,-0.7018816427659497,-0.5286851386185026,-0.4191371351844804
FN,FN 5 fly,fn_5_fly_change_32nds,-0.7500159999999596,-1.7500479999998788,-5.25001599999996,-2.000031999999919,-0.5690131842240748,748,-0.6863576699974795,-0.7849094162351422,-0.7372428269785651
FN,FN 5.5 fly,fn_5.5_fly_change_32nds,4.0,-0.4999680000000808,-7.5,-7.499968000000081,-0.18359241272503835,748,-0.7581157438768292,-0.6946869794518387,-0.5135695454075945
FN,FN 6 fly,fn_6_fly_change_32nds,9.0,-3.199999991920777e-05,5.0,4.24998400000004,0.34159766565178296,748,0.19129997685391892,0.5720075525972839,0.2030272495840682
G2,G2 3.5 fly,g2_3.5_fly_change_32nds,-80.25001599999996,-2.5,-12.75001599999996,-2.0,-0.06796784912530399,748,-0.32843772168863616,-0.27132073286784275,-0.3036864238182658
G2,G2 4 fly,g2_4_fly_change_32nds,-7.999968000000081,2.000031999999919,5.25001599999996,-0.2499840000000404,-0.18683768195891998,748,0.19658734220802765,0.023603606338640237,-0.1032462745832005
G2,G2 4.5 fly,g2_4.5_fly_change_32nds,-4.500031999999919,-3.000031999999919,-12.5,-17.75004799999988,-0.4933281135880999,748,-0.6627057616890148,-0.5850588528347855,-0.467963819370158
G2,G2 5 fly,g2_5_fly_change_32nds,22.00003199999992,2.000031999999919,1.0,11.000063999999838,-0.3169647806641479,748,-0.6369343531557493,-0.7315156799044894,-0.656824360528663
G2,G2 5.5 fly,g2_5.5_fly_change_32nds,6.74998400000004,-1.0,-7.0,-8.50003199999992,0.05630706073840574,748,-0.5800235657325707,-0.20438930760142518,-0.13999807262352582
G2,G2 6 fly,g2_6_fly_change_32nds,15.5,10.49996800000008,5.0,-5.25001599999996,0.20873427610316517,748,0.15759012904103598,0.3937582528188986,0.39723688046720923
