agency,structure,series_key,latest,perf_5d,perf_20d,perf_40d,corr_all,corr_obs,corr_20d,corr_40d,corr_60d
FN,FN 6.5/5.5,fn_6.5_5.5_wide_swap_perf_32nds,3.775541109996464,-2.724334911710862,-3.9400450142810683,-4.043149295940223,0.514735178713547,748,0.4255782667733306,0.33714703668063534,0.36909211041231677
FN,FN 6/5,fn_6_5_wide_swap_perf_32nds,4.935586686416953,-2.1309806873608386,1.490773741469574,-0.5071374281863417,0.4846968963885931,748,0.5880754876964016,0.7366244401853748,0.6700287462651688
FN,FN 5.5/4.5,fn_5.5_4.5_wide_swap_perf_32nds,2.0574947397273275,-3.568984539281435,-5.111974319719731,-4.821796579246216,0.38417296250805955,748,0.37420519575053174,0.5098475899311258,0.45836405950580006
FN,FN 5/4,fn_5_4_wide_swap_perf_32nds,1.1875742324362242,-2.7386554007101975,-8.567700500796159,-9.201527175389753,0.21677466333483136,748,-0.00878336592556848,0.1550290125840458,0.13683904955159482
FN,FN 4.5/3.5,fn_4.5_3.5_wide_swap_perf_32nds,0.8673689941613123,-1.0924334556065523,-8.19094026614308,-8.798188291689318,-0.035230723322545385,748,0.016288782453588484,0.09670635329280922,0.1293911525980442
FN,FN 4/3,fn_4_3_wide_swap_perf_32nds,-1.365384433684032,-2.1541430460743385,-8.259806727367142,-7.845662850385784,-0.21714742023432185,748,-0.12627654358682475,-0.14824157835917628,-0.1669717864716375
G2,G2 6.5/5.5,g2_6.5_5.5_wide_swap_perf_32nds,3.5784471369358952,-13.960151593984634,-2.6697728121422912,-1.7880549169250006,0.3808816465252172,748,0.5701730649828778,0.3845795355528481,0.2768379892749298
G2,G2 6/5,g2_6_5_wide_swap_perf_32nds,4.057525243042717,-4.824357606043948,-6.853433070412661,-16.02009248494242,0.4628664327538667,748,0.41752498468512983,0.6534379519215706,0.606517016218605
G2,G2 5.5/4.5,g2_5.5_4.5_wide_swap_perf_32nds,2.6032502393230716,-3.046739877341542,-6.907919186936286,-9.892993014907741,0.4694731282652202,748,0.053563498372913514,0.3477667067344892,0.3239384364896556
G2,G2 5/4,g2_5_4_wide_swap_perf_32nds,-1.0293834217989115,-3.70553910547149,-9.609690400481988,-7.691371219152458,0.2390554891281163,748,-0.41443502731189613,-0.4103740541714754,-0.3015777435028186
G2,G2 4.5/3.5,g2_4.5_3.5_wide_swap_perf_32nds,0.08880280983148836,-4.3152409669391485,-8.024687050053316,-17.754184504178163,-0.07010946391111209,748,0.04756980920048701,0.018064368857489098,0.14631899993654363
G2,G2 4/3,g2_4_3_wide_swap_perf_32nds,-0.707650302377536,-4.105992219157162,-11.202967224735064,-15.776199344028333,-0.1641601738441197,748,0.27171826717428504,0.24729049102398107,0.14755067128130495
