date,ct10_yield_pct,ct10_change_bps,fn_3.5_fly_level_32nds,fn_3.5_fly_change_32nds,fn_3.5_fly_change_32nds_corr_20d,fn_3.5_fly_change_32nds_corr_40d,fn_3.5_fly_change_32nds_corr_60d,fn_4_fly_level_32nds,fn_4_fly_change_32nds,fn_4_fly_change_32nds_corr_20d,fn_4_fly_change_32nds_corr_40d,fn_4_fly_change_32nds_corr_60d,fn_4.5_fly_level_32nds,fn_4.5_fly_change_32nds,fn_4.5_fly_change_32nds_corr_20d,fn_4.5_fly_change_32nds_corr_40d,fn_4.5_fly_change_32nds_corr_60d,fn_5_fly_level_32nds,fn_5_fly_change_32nds,fn_5_fly_change_32nds_corr_20d,fn_5_fly_change_32nds_corr_40d,fn_5_fly_change_32nds_corr_60d,fn_5.5_fly_level_32nds,fn_5.5_fly_change_32nds,fn_5.5_fly_change_32nds_corr_20d,fn_5.5_fly_change_32nds_corr_40d,fn_5.5_fly_change_32nds_corr_60d,fn_6_fly_level_32nds,fn_6_fly_change_32nds,fn_6_fly_change_32nds_corr_20d,fn_6_fly_change_32nds_corr_40d,fn_6_fly_change_32nds_corr_60d,g2_3.5_fly_level_32nds,g2_3.5_fly_change_32nds,g2_3.5_fly_change_32nds_corr_20d,g2_3.5_fly_change_32nds_corr_40d,g2_3.5_fly_change_32nds_corr_60d,g2_4_fly_level_32nds,g2_4_fly_change_32nds,g2_4_fly_change_32nds_corr_20d,g2_4_fly_change_32nds_corr_40d,g2_4_fly_change_32nds_corr_60d,g2_4.5_fly_level_32nds,g2_4.5_fly_change_32nds,g2_4.5_fly_change_32nds_corr_20d,g2_4.5_fly_change_32nds_corr_40d,g2_4.5_fly_change_32nds_corr_60d,g2_5_fly_level_32nds,g2_5_fly_change_32nds,g2_5_fly_change_32nds_corr_20d,g2_5_fly_change_32nds_corr_40d,g2_5_fly_change_32nds_corr_60d,g2_5.5_fly_level_32nds,g2_5.5_fly_change_32nds,g2_5.5_fly_change_32nds_corr_20d,g2_5.5_fly_change_32nds_corr_40d,g2_5.5_fly_change_32nds_corr_60d,g2_6_fly_level_32nds,g2_6_fly_change_32nds,g2_6_fly_change_32nds_corr_20d,g2_6_fly_change_32nds_corr_40d,g2_6_fly_change_32nds_corr_60d
2023-09-18,4.31752076863835,,8.99996800000008,,,,,12.00003199999992,,,,,11.24998400000004,,,,,8.5,,,,,11.0,,,,,8.74998400000004,,,,,16.49996800000008,,,,,8.00003199999992,,,,,-0.5000319999999192,,,,,8.50003199999992,,,,,12.74998400000004,,,,,15.74998400000004,,,,
2023-09-19,4.36566797198026,4.8147203341909695,8.0,-0.9999680000000808,,,,11.5,-0.5000319999999192,,,,10.24998400000004,-1.0,,,,8.00003199999992,-0.4999680000000808,,,,11.99996800000008,0.9999680000000808,,,,8.75001599999996,3.199999991920777e-05,,,,14.5,-1.9999680000000808,,,,7.5,-0.5000319999999192,,,,-1.2500159999999596,-0.7499840000000404,,,,8.00003199999992,-0.5,,,,11.99996800000008,-0.7500159999999596,,,,18.00003199999992,2.250047999999879,,,
2023-09-20,4.34571488779608,-1.9953084184179737,7.74998400000004,-0.2500159999999596,,,,11.00003199999992,-0.4999680000000808,,,,10.49996800000008,0.2499840000000404,,,,8.25001599999996,0.2499840000000404,,,,12.0,3.199999991920777e-05,,,,10.0,1.2499840000000404,,,,14.24998400000004,-0.2500159999999596,,,,6.000031999999919,-1.4999680000000808,,,,0.2499840000000404,1.5,,,,7.24998400000004,-0.7500479999998788,,,,12.00003199999992,6.399999983841553e-05,,,,19.74998400000004,1.7499520000001212,,,
2023-09-21,4.47891879085872,13.320390306263974,7.75001599999996,3.199999991920777e-05,,,,9.25001599999996,-1.7500159999999596,,,,8.74998400000004,-1.7499840000000404,,,,8.0,-0.2500159999999596,,,,10.0,-2.0,,,,9.0,-1.0,,,,14.25001599999996,3.199999991920777e-05,,,,4.25001599999996,-1.7500159999999596,,,,-1.7500159999999596,-2.0,,,,6.74998400000004,-0.5,,,,10.75001599999996,-1.2500159999999596,,,,17.0,-2.7499840000000404,,,
2023-09-22,4.43875997295247,-4.01588179062502,6.500031999999919,-1.2499840000000404,,,,9.99996800000008,0.7499520000001212,,,,10.25001599999996,1.5000319999999192,,,,7.75001599999996,-0.2499840000000404,,,,9.99996800000008,-3.199999991920777e-05,,,,9.25001599999996,0.2500159999999596,,,,13.0,-1.2500159999999596,,,,5.5,1.2499840000000404,,,,-0.2500159999999596,1.5,,,,5.500031999999919,-1.2499520000001212,,,,9.49996800000008,-1.2500479999998788,,,,19.25001599999996,2.2500159999999596,,,
2023-09-25,4.54054981424347,10.178984129100055,6.25001599999996,-0.2500159999999596,,,,10.49996800000008,0.5,,,,9.50003199999992,-0.7499840000000404,,,,7.24998400000004,-0.5000319999999192,,,,8.74998400000004,-1.2499840000000404,,,,9.25001599999996,0.0,,,,13.50003199999992,0.5000319999999192,,,,5.999968000000081,0.4999680000000808,,,,-0.7499840000000404,-0.4999680000000808,,,,5.0,-0.5000319999999192,,,,6.5,-2.999968000000081,,,,19.25001599999996,0.0,,,
2023-09-26,4.55705436654744,1.6504552303969966,7.5,1.2499840000000404,,,,9.24998400000004,-1.2499840000000404,,,,9.00003199999992,-0.5,,,,6.24998400000004,-1.0,,,,9.74998400000004,1.0,,,,8.75001599999996,-0.5,,,,14.25001599999996,0.7499840000000404,,,,6.0,3.199999991920777e-05,,,,-2.5,-1.7500159999999596,,,,3.7500159999999596,-1.2499840000000404,,,,7.24998400000004,0.7499840000000404,,,,18.74998400000004,-0.5000319999999192,,,
2023-09-27,4.62498242361018,6.792805706273963,6.500031999999919,-0.9999680000000808,,,,9.74998400000004,0.5,,,,8.5,-0.5000319999999192,,,,6.24998400000004,0.0,,,,8.50003199999992,-1.2499520000001212,,,,7.74998400000004,-1.0000319999999192,,,,12.5,-1.7500159999999596,,,,7.0,1.0,,,,-3.5,-1.0,,,,2.7499840000000404,-1.0000319999999192,,,,7.75001599999996,0.5000319999999192,,,,17.5,-1.2499840000000404,,,
2023-09-28,4.5963273785706,-2.865504503957972,6.75001599999996,0.2499840000000404,,,,9.24998400000004,-0.5,,,,7.5,-1.0,,,,6.74998400000004,0.5,,,,7.75001599999996,-0.7500159999999596,,,,8.5,0.7500159999999596,,,,11.75001599999996,-0.7499840000000404,,,,6.999968000000081,-3.199999991920777e-05,,,,-4.74998400000004,-1.2499840000000404,,,,2.7500159999999596,3.199999991920777e-05,,,,7.74998400000004,-3.199999991920777e-05,,,,17.0,-0.5,,,
2023-09-29,4.57008761931672,-2.6239759253880557,6.75001599999996,0.0,,,,9.5,0.2500159999999596,,,,7.5,0.0,,,,7.75001599999996,1.0000319999999192,,,,7.74998400000004,-3.199999991920777e-05,,,,9.0,0.5,,,,11.24998400000004,-0.5000319999999192,,,,6.75001599999996,-0.2499520000001212,,,,-5.0,-0.2500159999999596,,,,5.25001599999996,2.5,,,,6.999968000000081,-0.7500159999999596,,,,17.00003199999992,3.199999991920777e-05,,,
