agency,structure,series_key,latest,perf_5d,perf_20d,perf_40d,corr_all,corr_obs,corr_20d,corr_40d,corr_60d
FN,FN 3.5/3,fn_3.5_3_swap_perf_32nds,-1.263697304650432,-1.1326189702166158,-4.040830767645424,-5.2357174481195905,-0.20414222155540712,748,-0.22242961590712057,-0.15907260138946086,-0.21318328290816796
FN,FN 4/3.5,fn_4_3.5_swap_perf_32nds,-0.10168712903359989,-1.0215240758577226,-4.2189759597217185,-2.6099454022661943,-0.11640588198459363,748,0.0626552188471437,-0.061145919990884944,-0.026219214248588474
FN,FN 4.5/4,fn_4.5_4_swap_perf_32nds,0.9690561231949122,-0.0709093797488296,-3.971964306421363,-6.1882428894231225,0.06701435359259808,748,-0.03922097620441447,0.2187150058189251,0.19639921386075812
FN,FN 5/4.5,fn_5_4.5_swap_perf_32nds,0.218518109241312,-2.6677460209613675,-4.595736194374798,-3.0132842859666296,0.28066594427538505,748,0.025078261965161008,0.007410786848633146,-0.022924389349163462
FN,FN 5.5/5,fn_5.5_5_swap_perf_32nds,1.8389766304860158,-0.901238518320066,-0.5162381253449329,-1.808512293279587,0.4073111549113945,748,0.5088384293325499,0.6750561897064482,0.6200480639515488
FN,FN 6/5.5,fn_6_5.5_swap_perf_32nds,3.0966100559309377,-1.2297421690407728,2.007011866814506,1.301374865093246,0.48750441699235136,748,0.5964415467526659,0.7140628358023275,0.643949361212436
FN,FN 6.5/6,fn_6.5_6_swap_perf_32nds,0.6789310540655265,-1.49459274267009,-5.947056881095573,-5.344524161033467,0.4142133053018937,748,-0.0186952832698324,-0.34198518318806126,-0.23599807202861028
G2,G2 3.5/3,g2_3.5_3_swap_perf_32nds,-2.667512776837152,-3.0505956360471873,-10.39289321178626,-6.945092436115205,-0.0673110193673771,748,0.06580465858780785,0.06972828254922918,-0.024305839590939585
G2,G2 4/3.5,g2_4_3.5_swap_perf_32nds,1.9598624744596158,-1.0553965831099754,-0.8100740129488049,-8.83110690791313,-0.1156931694150585,748,0.20059370562639062,0.14233868559705948,0.1625789173842423
G2,G2 4.5/4,g2_4.5_4_swap_perf_32nds,-1.8710596646281275,-3.259844383829174,-7.214613037104513,-8.923077596265037,0.045245108371609694,748,-0.2587757681450564,-0.19676732016882656,0.010208727085740329
G2,G2 5/4.5,g2_5_4.5_swap_perf_32nds,0.8416762428292159,-0.44569472164231616,-2.395077363377474,1.2317063771125767,0.2909737985946728,748,-0.3780796983079387,-0.36126216063518,-0.3650239246338886
G2,G2 5.5/5,g2_5.5_5_swap_perf_32nds,1.7615739964938557,-2.601045155699226,-4.5128418235588095,-11.12469939202032,0.46981250483045334,748,0.32870971365005175,0.6555068274511074,0.6222114892188864
G2,G2 6/5.5,g2_6_5.5_swap_perf_32nds,2.295951246548861,-2.223312450344724,-2.340591246853852,-4.895393092922097,0.27981738543491164,748,0.46081171777128627,0.5020236818548478,0.4179922278415312
G2,G2 6.5/6,g2_6.5_6_swap_perf_32nds,1.2824958903870343,-11.736839143639912,-0.3291815652884411,3.107338175997098,0.27304028043382567,748,0.47122630372061935,0.1884424653375325,0.0564668208970581
