date,price,ticker,vol,momentum,z,regime,position,ema_fast,ema_medium,ema_slow,atr
2024-01-02,112.296875,TY1 COMB Comdty,,,,neutral,0,112.296875,112.296875,112.296875,
2024-01-03,112.515625,TY1 COMB Comdty,,,,neutral,0,112.31770833333333,112.30404713114753,112.30049070247934,0.21875
2024-01-04,111.984375,TY1 COMB Comdty,,,,neutral,0,112.28596230158729,112.29356607766728,112.2952656495458,0.26041666666666663
2024-01-05,111.71875,TY1 COMB Comdty,,,,neutral,0,112.2319420823885,112.2747196488913,112.2857364652558,0.26111111111111107
2024-01-08,112.046875,TY1 COMB Comdty,,,,neutral,0,112.21431664597054,112.26724933253422,112.28178834186315,0.2700462962962963
2024-01-09,111.90625,TY1 COMB Comdty,,,,neutral,0,112.18497696540192,112.25541328884458,112.2755810965431,0.25279012345679014
2024-01-10,111.875,TY1 COMB Comdty,,,,neutral,0,112.15545534964934,112.24294072199721,112.26895992139364,0.22325144032921815
2024-01-11,112.34375,TY1 COMB Comdty,,,,neutral,0,112.17338817349226,112.24624594422681,112.27019612104003,0.2559845816186557
2024-01-12,112.59375,TY1 COMB Comdty,,,,neutral,0,112.21342263315967,112.25763951982593,112.27554411903938,0.255186637402835
2024-01-16,111.84375,TY1 COMB Comdty,,,,neutral,0,112.17821571571588,112.24406937163491,112.26840702616269,0.32116175241579037
2024-01-17,111.421875,TY1 COMB Comdty,,,,neutral,0,112.10618326660008,112.21711217912228,112.25441476126745,0.33459018542701835
2024-01-18,111.203125,TY1 COMB Comdty,,,,neutral,0,112.02017771740007,112.18386669783959,112.23703807099858,0.3191448273700826
2024-01-19,111.125,TY1 COMB Comdty,,,,neutral,0,111.9349226966953,112.1491497569268,112.21865727643662,0.2870088503874049
2024-01-22,111.5,TY1 COMB Comdty,,,,neutral,0,111.89350148748622,112.12786615833905,112.20677864376825,0.2987410036690843
2024-01-23,111.21875,TY1 COMB Comdty,,,,neutral,0,111.82923944105896,112.09805907118039,112.19044759180514,0.2964088698465397
2024-01-24,110.96875,TY1 COMB Comdty,,,,neutral,0,111.74728806572001,112.06103254425643,112.17025424318027,0.2902210205336677
2024-01-25,111.3125,TY1 COMB Comdty,,,,neutral,0,111.7058796785086,112.03649049362507,112.15607648709465,0.29735821779584537
2024-01-26,111.03125,TY1 COMB Comdty,,,,neutral,0,111.64162923293634,112.00353178891605,112.13748431375424,0.29521045542306595
2024-01-29,111.515625,TY1 COMB Comdty,,,,neutral,0,111.62962882979954,111.98753484501715,112.1272056474112,0.3204323946999905
2024-01-30,111.625,TY1 COMB Comdty,,,,neutral,0,111.62918798886625,111.97564845665593,112.11890472761928,0.2922914087399918
2024-01-31,112.328125,TY1 COMB Comdty,,,,neutral,0,111.69575341849804,111.98720506463442,112.12236291393964,0.3470692209079929
2024-02-01,112.890625,TY1 COMB Comdty,,,,neutral,0,111.80955071197442,112.01682539038411,112.13506146081667,0.37579332478692723
2024-02-02,111.65625,TY1 COMB Comdty,,,,neutral,0,111.79495064416733,112.00500324643708,112.12714722179493,0.4902708814820036
2024-02-05,110.78125,TY1 COMB Comdty,,,,neutral,0,111.69840772567521,111.96488018917685,112.10490098672395,0.5415680972844031
2024-02-06,111.28125,TY1 COMB Comdty,,,,neutral,0,111.65867841846804,111.94246608461368,112.0912869208277,0.5360256843131495
2024-02-07,111.1875,TY1 COMB Comdty,,,,neutral,0,111.61380428337584,111.91771309823291,112.07634829403716,0.4770555930713962
2024-02-08,110.75,TY1 COMB Comdty,,,,neutral,0,111.53153720876863,111.87942742288101,112.05442518173903,0.47178151399521007
2024-02-09,110.578125,TY1 COMB Comdty,,,,neutral,0,111.44073604602876,111.83676176967178,112.03002352584254,0.4317939787958487
2024-02-12,110.71875,TY1 COMB Comdty,,,,neutral,0,111.3719754702165,111.80010564607598,112.00834958326662,0.3929714482897355
2024-02-13,109.625,TY1 COMB Comdty,,,,neutral,0,111.2055968540054,111.72879070686037,111.96895537527875,0.4864085885177708
2024-02-14,110.015625,TY1 COMB Comdty,,,,neutral,0,111.09226620124299,111.67262133942232,111.93666892279481,0.47363744338206804
2024-02-15,110.171875,TY1 COMB Comdty,,,,neutral,0,111.00460989636271,111.62341654140846,111.90749877531061,0.4313191175977923
2024-02-16,109.75,TY1 COMB Comdty,,,,neutral,0,110.88512323956625,111.56199304824753,111.87183763852863,0.4300599019180867
2024-02-20,109.9375,TY1 COMB Comdty,,,,neutral,0,110.79487340722662,111.50873098109187,111.83986511557775,0.3977185816623418
2024-02-21,109.625,TY1 COMB Comdty,,,,neutral,0,110.68345689225265,111.44696930958065,111.80325577482441,0.38635610410736293
2024-02-22,109.5,TY1 COMB Comdty,,,,neutral,0,110.57074671203812,111.38313425025014,111.76518543143888,0.3515086235597146
2024-02-23,109.875,TY1 COMB Comdty,,,,neutral,0,110.50448512041544,111.33368722565176,111.73394269703493,0.35464080708508594
2024-02-26,109.609375,TY1 COMB Comdty,,,,neutral,0,110.41923653751874,111.27715239858121,111.69882587559634,0.34277203280707447
2024-02-27,109.53125,TY1 COMB Comdty,,,,neutral,0,110.33466639108839,111.21990969698838,111.66299817517327,0.30748576176613124
